id,occupancy_rate_reviews,occupancy_rate_calendar,is_review_recent_z_score,Predicted Discrepency,Calendar Weight,Review Weight,Occupancy Rate Final,Occupancy Confidence
37005511,0.1115787872,0,0.9698562628,0.1625434283,0.8374565717,1,0.0607245847,1.8374565717
37005934,0.2871544149,0,0,0.2676801584,0.7323198416,1,0.1657629313,1.7323198416
37006114,0.2138636712,-1,1.9531827515,1.2425414921,0,0.5234086242,0.2138636712,0.5234086242
37006421,0.1212435007,0,1.9613963039,0.1625434283,0.8374565717,0.519301848,0.0464061789,1.3567584198
37006731,0.1864803165,0,5.7984394251,0.1625434283,0.8374565717,0,0,0.8374565717
37006987,0.2444685972,-0.466666667,1.9239425051,0.7738164034,0.2261835966,0.5380287474,0.1721133323,0.764212344
37007695,0.1607077473,-1,2.7771663244,1.2107780268,0,0.1114168378,0.1607077473,0.1114168378
37008287,0.1470160699,0,2.1184394251,0.1625434283,0.8374565717,0.4407802875,0.0506962267,1.2782368592
37009407,0.1373513564,0,2.6776180698,0.1625434283,0.8374565717,0.1611909651,0.0221697815,0.9986475368
37009724,0.385412335,-0.266666667,0.3528542094,0.60897859,0.39102141,1,0.2770714615,1.39102141
37009996,0.3266186615,1,0.6554414784,0.6601523881,0.3398476119,1,0.4974194583,1.3398476119
37011128,0.1445998915,0.6666666667,1.9771663244,0.3688017414,0.6311982586,0.5114168378,0.4329976559,1.1426150964
37011129,0.1268812502,0.6666666667,0.6321149897,0.3589245831,0.6410754169,1,0.3377449054,1.6410754169
37011601,0.1349351781,0,0.9728131417,0.3457261876,0.6542738124,1,0.0815676202,1.6542738124
37011616,0.2597710601,0,2.9864476386,0.3151905474,0.6848094526,0.0067761807,0.0025452461,0.6915856333
37011740,0.2050043506,0,5.6791786448,0.2873822265,0.7126177735,0,0,0.7126177735
37011769,0.2001719939,0,1.7662422998,0.1625434283,0.8374565717,0.6168788501,0.0849060454,1.4543354219
37011789,,0.5777777778,999,0.2756819462,0.7243180538,0,0.5777777778,0.7243180538
37012065,0.1325189997,-0.8,0.9540862423,1.0309193418,0,1,0.1325189997,1
37013151,,0,999,0.1625434283,0.8374565717,0,0,0.8374565717
37013390,0.1494322483,0,0.9609856263,0.1625434283,0.8374565717,1,0.0813255946,1.8374565717
37013921,,0,999,0.1625434283,0.8374565717,0,0,0.8374565717
37014613,,1,999,0.6618555234,0.3381444766,0,1,0.3381444766
37014739,0.3499750523,0,1.2379466119,0.3046189638,0.6953810362,0.881026694,0.1955949323,1.5764077303
37016222,0.5513232492,-0.8,4.4471457906,1.0806457527,0,0,,0
37016603,0.4071579402,-0.311111111,0.3794661191,0.6155683849,0.3844316151,1,0.2940975457,1.3844316151
37016764,0.1228542863,-0.622222222,1.408788501,0.9214880799,0.0785119201,0.7956057495,0.1118197011,0.8741176696
37016848,0.1566807833,0,3.2821355236,0.1625434283,0.8374565717,0,0,0.8374565717
37017141,0.4144064753,0,8.0256262834,0.1625434283,0.8374565717,0,0,0.8374565717
37017170,0.1156057512,-1,0.9521149897,1.2671185682,0,1,0.1156057512,1
37017227,0.5779012112,-0.8,4.511211499,1.0806457527,0,0,,0
37017374,0.3250078759,0,0,0.3448017819,0.6551982181,1,0.1963558638,1.6551982181
37017425,0.316953948,-0.2,1.4350718686,0.534945755,0.465054245,0.7824640657,0.1987987452,1.2475183107
37017729,0.1574861761,0.1333333333,0.6406570842,0.2129453729,0.7870546271,1,0.1468487807,1.7870546271
37017795,0.6479573966,0,1.9456262834,0.2364771352,0.7635228648,0.5271868583,0.2646564275,1.2907097232
37018378,,-0.777777778,999,0.9978355308,0.0021644692,0,0,0.0021644692
37018682,0.1212435007,-0.333333333,1.9416837782,0.597619132,0.402380868,0.5291581109,0.0688720314,0.9315389789
37019368,0.2734627375,0,1.367063655,0.3004600409,0.6995399591,0.8164681725,0.1472773245,1.5160081316
37019695,0.1574861761,1,0.7885010267,0.6529049807,0.3470950193,1,0.3745698619,1.3470950193
37019982,0.5038050747,-0.488888889,2.6546201232,0.8172260717,0.1827739283,0.1726899384,0.2447564308,0.3554638667
37020421,0.4305143311,-0.155555556,0.5440657084,0.4792409289,0.5207590711,1,0.2830917397,1.5207590711
37020763,0.1341297853,-0.311111111,0.4231622177,0.5299238941,0.4700761059,1,0.0912400282,1.4700761059
37020950,0.1373513564,0.2666666667,0.3778234086,0.1761018882,0.8238981118,1,0.1957661545,1.8238981118
37021195,,0,999,0.3564228487,0.6435771513,0,0,0.6435771513
37022153,0.2017827794,0.7208114085,1.3240246407,0.4044142387,0.5955857613,0.8379876797,0.4174160022,1.4335734409
37023752,0.2420524188,1,7.2739219713,0.6664458414,0.3335541586,0,1,0.3335541586
37023849,,0.7975291695,999,0.4836549198,0.5163450802,0,0.7975291695,0.5163450802
37027498,0.3491696595,0,3.7020123203,0.308418672,0.691581328,0,0,0.691581328
37029751,0.3902446917,0.4453900709,2.8701437372,0.1886757495,0.8113242505,0.0649281314,0.4413039349,0.8762523819
37036243,,0,999,0.3331920493,0.6668079507,0,0,0.6668079507
37039174,0.1220488935,0,1.4462422998,0.1625434283,0.8374565717,0.7768788501,0.0587345125,1.6143354219
37039419,,0.5333333333,999,0.248466074,0.751533926,0,0.5333333333,0.751533926
37039925,,1,999,0.6675004731,0.3324995269,0,1,0.3324995269
37041936,,0,999,0.2744185751,0.7255814249,0,0,0.7255814249
